SYMBOL	SYMBOL	Norm_F_GSM96454	Norm_F_GSM96455	Norm_F_GSM96456	Norm_F_GSM96457	Norm_F_GSM96458	Norm_F_GSM96459	Norm_F_GSM96461	Norm_M_GSM96470	Norm_M_GSM96471	Norm_M_GSM96472	Norm_M_GSM96473	Norm_M_GSM96474	Norm_M_GSM96475	Norm_M_GSM96476	Tumour_F_GSM96462	Tumour_F_GSM96463	Tumour_F_GSM96464	Tumour_F_GSM96466	Tumour_F_GSM96467	Tumour_F_GSM96468	Tumour_F_GSM96469	Tumour_M_GSM96477	Tumour_M_GSM96478	Tumour_M_GSM96479	Tumour_M_GSM96480	Tumour_M_GSM96481	Tumour_M_GSM96482	Tumour_M_GSM96483	p-value
ABP1	ABP1	0.364975687	1.00E-06	1.00E-06	1.00E-06	0.027431468	1.00E-06	1.00E-06	0.08594509	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.020944672	0.053393051	0.021592199	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.321095629
ABS	ABS	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.215660781	0.203059191	0.055346429	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.161143563	0.074447462	1.00E-06	1.00E-06	0.486153151	0.129881918	0.519148711
ABTB1	ABTB1	1.00E-06	0.264589816	0.118441312	0.074796123	1.00E-06	0.232780075	0.173622731	1.00E-06	1.00E-06	0.483475524	0.344097415	1.00E-06	1.00E-06	1.00E-06	0.092761874	1.00E-06	0.510668286	1.00E-06	1.00E-06	0.200995091	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.076724055	1.00E-06	0.172832778	0.08784243	0.493406834
ACAA1	ACAA1	0.226784223	0.964432346	0.246140712	0.21903307	0.173428226	0.222692825	0.238273304	0.778673417	1.280696821	0.800226779	0.78952433	0.638360529	0.464456391	0.636099211	0.221123401	0.131010088	0.261297848	0.156906984	0.229142617	0.208047887	0.099879424	0.521976172	0.629337697	0.346277535	0.452770371	0.874302399	0.282448423	0.386715478	0.072479542
ACAA2	ACAA2	0.34884263	1.00E-06	1.00E-06	0.244201454	0.105569305	0.102626637	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.162934423	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.196411141	0.299636271	0.247076911	0.30390507	0.021809629	0.150522925	1.00E-06	1.00E-06	0.088705104	1.00E-06	0.23869301	1.00E-06	1.00E-06	0.359451782
ACAD8	ACAD8	1.00E-06	1.00E-06	0.045036356	0.19217365	0.066784567	0.060164101	0.448869781	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.03325395	0.33173613	0.129285175	0.168818195	1.00E-06	0.026067976	0.020944672	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.862851398
ACADM	ACADM	0.626554243	4.672700791	0.7211153	0.324671363	0.809529908	0.729493041	0.746703536	2.260386091	3.150822189	4.264251925	2.653824627	4.450270688	1.642816177	1.602810482	0.57275141	0.794877374	0.180901207	0.824540344	0.394832079	0.77870487	0.352471893	2.603361252	2.481031972	3.011594951	1.896816671	1.312556457	4.615899834	2.195028848	0.386272038
ACADVL	ACADVL	0.660811158	1.149824503	1.009277708	0.928080645	0.796715808	0.864089165	0.58651014	1.163494088	1.011641358	0.813638518	2.02555726	1.271094074	1.106862891	0.980337101	0.781516088	0.947493016	0.733727323	0.771086397	1.092405383	0.633996253	1.034126498	0.876603958	1.259502461	0.786684418	1.227527413	1.910769005	1.082911024	0.8642525	0.838243009
ACAS2	ACAS2	0.161940873	0.280116756	0.224275632	0.014554221	0.054077428	0.032500351	0.004429729	0.037096041	0.17638016	0.108136757	1.00E-06	0.439954489	1.00E-06	1.00E-06	0.010009911	0.054187929	1.00E-06	0.115513853	1.00E-06	0.043766103	0.006056592	0.029739534	1.00E-06	0.090180182	1.00E-06	0.08690611	1.00E-06	0.031266789	0.057143663
ACAT1	ACAT1	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1
ACAT2	ACAT2	0.245225327	1.00E-06	0.56919079	0.510668286	0.098352742	0.357319582	0.208982481	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.288540667	1.00E-06	1.00E-06	0.129475827	0.571751735	0.738864467	0.31407006	0.196411141	0.376517207	0.345319024	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.356823962	0.406941171	1.00E-06	0.332552181
ACATE2	ACATE2	0.094663363	1.559386876	0.241896872	0.276375007	0.331502017	0.956185093	0.009247931	0.427857321	1.333158681	0.268978526	0.729493041	0.383063142	0.42124932	0.727419721	0.451314983	0.398433302	0.14819764	0.104153638	0.374114487	0.316012392	0.198992961	0.551585402	0.383973382	0.424514226	0.226511977	0.512058317	0.188628772	0.279807682	0.092886823
ACATN	ACATN	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.194413305	1.00E-06	0.335561278
ACK1	ACK1	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.351295847	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.316799822	0.300804809	1.00E-06	0.630785933
ACLY	ACLY	0.334296194	0.351997251	0.810938517	0.530376113	0.436112024	0.55690029	0.612474783	0.287419957	1.993073942	0.386186343	0.546415485	0.894614125	0.180901207	0.254970494	0.995277113	0.925333526	0.46657775	0.813513751	0.025253358	0.579964543	0.36036962	0.357737087	0.675553064	0.354766568	0.801091765	0.550750799	0.424514226	0.217866003	0.755445493
ACMSD	ACMSD	0.049839441	2.313733334	1.00E-06	1.00E-06	0.014530547	0.088259724	1.00E-06	1.00E-06	0.854489929	1.00E-06	0.220650918	1.079389905	0.3021883	1.153196905	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.004024159	1.00E-06	0.444460226	0.617371795	1.00E-06	0.360600469	0.971881078	1.00E-06	0.1662873	0.226548802
ACO1	ACO1	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.424237414	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.241251321	1.00E-06	1.00E-06	0.711531954
ACO2	ACO2	0.358709958	0.141423508	0.510668286	0.378171193	0.50073936	0.267467734	0.281559212	0.559941352	0.484047036	1.61935245	0.269603166	1.211116245	0.433656637	0.111180064	0.172619958	0.322658469	0.419209189	0.454282867	0.475539535	0.277824278	0.59820099	0.330973585	0.617908046	0.571419611	0.273198265	0.236633995	0.830395017	0.627917538	0.595966896
ACOX1	ACOX1	0.13398653	1.712433178	0.126284845	0.119216841	0.038378391	0.028095276	0.184109198	0.738575354	1.215935231	0.646088795	0.800533254	0.608628841	1.310466534	1.55911866	0.019154479	0.106871203	0.036118716	0.161614222	0.123443468	0.195039076	0.241625934	0.492473127	0.867653287	0.464543947	0.360960657	0.267582379	0.642252349	0.636547843	0.072497242
ACOX3	ACOX3	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1
ACP1	ACP1	1.00E-06	1.023492732	1.00E-06	0.024313149	0.346831	0.092337344	1.00E-06	0.297681972	0.962828168	1.00E-06	0.290424698	1.00E-06	0.311173418	0.461460329	0.043587575	0.607238601	0.013060098	1.00E-06	0.075187778	0.127271953	1.00E-06	0.755862412	0.68147787	0.463181718	0.172002564	0.265155475	1.00E-06	0.689128111	0.96163105
ACP2	ACP2	5.299423847	5.123018007	7.51219343	6.306036305	4.725736726	5.097952051	7.643601118	7.73740497	6.409893254	8.007850381	7.23236953	11.28429947	6.965136698	6.938478012	10.6149751	5.647279871	7.294504813	7.538044258	4.951799174	8.064678584	5.547444094	6.814441798	8.156058312	7.294504813	5.87895668	7.363136659	6.42286443	6.277028255	0.849060251
ACP33	ACP33	0.700671993	0.138508576	0.32613415	0.418640999	0.869784272	0.323182663	0.859513729	1.00E-06	0.248958693	0.586483017	0.978134294	1.00E-06	0.086453584	0.119031279	0.073259414	0.261720505	0.211554921	0.703232824	0.488981543	0.472350197	0.218855	1.00E-06	0.284733993	0.207990353	0.148975836	1.00E-06	0.351540596	0.103353546	0.16232666
ACP6	ACP6	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.051943765	1.00E-06	0.525059597	1.00E-06	0.178332875	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.18427177
ACPP	ACPP	0.88708014	0.513721938	0.159790912	0.871687207	0.33340662	1.076112915	0.615355786	1.039954935	0.475411281	0.924167515	0.545414379	0.790343917	0.629643701	0.624870424	0.308197045	0.442265524	0.618372249	0.333365826	0.587454136	0.31722747	0.676654103	0.7320008	0.706883911	0.848255311	0.885562761	0.714086167	0.786196232	0.810375861	0.569499725
ACTA1	ACTA1	4.71351954	5.097952051	4.672700791	6.098875506	4.64008466	4.925990387	3.885694614	2.440479497	2.651626283	3.779662773	4.250507406	2.055870755	4.528691149	6.380828883	1.214303498	7.59867262	8.609896549	4.030807115	2.850911925	4.166547568	6.710190112	3.70905414	2.360890528	3.625019393	4.276462967	4.806075995	4.438223141	3.647300969	0.830090297
ACTA2	ACTA2	2.926080508	1.952837227	4.268965235	5.289742642	4.450270688	3.916550409	2.582844944	1.13930488	1.082570286	0.744101843	1.182822347	0.348347153	2.226689445	1.692407781	1.014728714	5.112538248	4.268965235	2.98018419	4.067551071	3.279036277	4.378119065	1.325956048	0.994282304	1.342083482	0.977185461	2.467455906	1.162345866	1.134314644	0.931758468
ACTB	ACTB	53.05460705	13.55948245	40.94665126	56.51173094	54.50253826	41.84465132	55.61510384	26.61061827	19.2297195	35.43641215	22.96452595	26.29091019	39.20629088	39.35797287	40.55361915	71.75469571	38.06509935	50.82063702	41.38805873	43.16956106	44.73668915	26.7414647	21.99182665	29.67627213	27.40665762	18.38678367	26.41386348	26.30909487	0.814622013
ACTC	ACTC	2.792340622	5.845501719	2.211191739	2.958657822	3.03005264	1.39823838	2.35807479	5.258980852	5.004225593	7.454882625	3.90410438	5.887360905	9.017835417	6.6630351	1.365332111	3.799959394	0.782022731	3.727391522	2.36614306	2.421675542	2.526816338	6.123084962	5.009811362	7.682059997	9.13581987	2.029738906	7.19463158	7.31919532	0.861727935
ACTG1	ACTG1	7.137545274	6.836630533	6.113422919	8.959615311	7.253166601	7.946545606	7.211699019	5.170633857	5.248970722	7.19527775	8.326180478	4.346852608	6.556745629	4.708135188	3.228156286	6.405285085	5.770898489	6.214452689	4.994346242	6.070318601	5.247581666	5.655469426	5.684701541	5.04340384	5.763390064	7.461016679	7.603757602	5.613709534	0.071925067
ACTG2	ACTG2	0.274967254	0.434850969	1.04386171	1.340446851	1.188927557	1.227081587	0.240466424	0.670487798	1.00E-06	1.00E-06	0.678492574	1.00E-06	0.975489471	0.566516944	1.00E-06	1.335151853	0.230378113	0.792561718	1.029802641	0.637262603	1.175027443	0.383493123	0.154040423	0.993265861	0.488734372	0.493558351	0.34884263	0.905478581	0.890731356
ACTN1	ACTN1	1.321753539	2.031194445	1.12244777	1.241663588	1.245241731	0.903453746	1.153988147	2.127670627	1.707256133	2.246481428	1.704306488	2.303887558	1.70973761	1.638308648	1.378854016	1.300578842	1.274032903	1.704015836	1.030588442	1.51636144	1.245498484	1.75387775	1.53424628	1.629956605	1.488632253	0.83334765	2.506465046	1.493187976	0.435538521
ACTN4	ACTN4	3.749110824	1.00E-06	2.3998305	2.364427776	2.170836935	1.073557195	1.60765823	0.57275141	0.347569401	1.393797208	1.00E-06	0.450254495	0.984945254	0.680716775	1.283035366	2.616745829	1.448739446	2.276025537	1.546982421	1.992030087	2.041421786	0.246367375	0.817517125	0.621472237	0.460854411	1.00E-06	1.09216375	0.34884263	0.845413484
ACTR1A	ACTR1A	1.00E-06	1.00E-06	0.090512781	0.061127553	1.00E-06	0.202605576	1.00E-06	0.105399203	0.133058138	1.00E-06	0.090512781	1.00E-06	1.00E-06	1.00E-06	0.017717261	7.52E-05	0.026122553	1.00E-06	0.061257184	0.053576942	1.00E-06	1.00E-06	1.00E-06	0.149977741	0.05308113	0.262795558	0.236174055	1.00E-06	0.674085365
ACTR1B	ACTR1B	0.930601255	0.986725056	1.605061953	0.747299249	0.711146461	1.372098502	1.07793186	0.815874151	0.690916681	1.257934538	1.679214414	1.287223309	0.886064574	0.591273634	0.885035711	0.444445936	1.218258796	0.667696889	0.929868616	1.192958187	0.854002421	1.005425153	1.181517497	0.901810905	0.980955964	0.756994988	0.807211762	0.903577623	0.220906744
ACTR2	ACTR2	1.535682532	2.428451775	0.652880323	0.776738302	1.218592875	1.046783159	0.799748215	3.984702459	3.530402917	5.161400616	4.832423317	3.744929404	3.848145904	3.522457811	0.43004215	0.370358342	0.312127066	0.90180089	1.138674037	0.840015161	0.68456864	3.073950458	3.75252683	4.195540592	3.720370045	5.294542716	2.219988153	3.928268794	0.488871602
ACVR1B	ACVR1B	9.885910602	0.686831576	6.750948965	7.846092933	8.097402181	5.161400616	10.14745997	4.156691525	0.314307637	3.065499906	1.008734503	2.47301249	3.046041394	2.912454138	6.795867074	5.224863561	4.569184515	5.958349466	6.750948965	7.134252372	6.805457755	3.16038654	2.029738906	4.878858238	4.345884581	1.132119837	3.391053684	3.339983683	0.998035483
ACY-3	ACY-3	0.374114487	0.447644766	0.270291072	0.240991384	0.301672534	0.135740746	0.195213505	0.133058138	0.747166743	1.00E-06	1.00E-06	0.222108153	0.126881572	0.226739111	0.438251333	0.154969477	0.160589168	0.367922265	0.176382997	0.136815609	0.199215922	0.496440954	0.366421139	0.159839441	0.181584759	1.00E-06	1.00E-06	0.262974457	0.727031705
ACY1	ACY1	0.061171386	0.058156425	0.194168513	0.141216728	0.082665059	0.106652476	0.157574041	0.177005235	0.266295068	0.246754805	0.213683272	0.114783372	0.196498531	0.172980844	0.207173202	0.104777031	0.126753432	0.085527185	0.095435137	0.142485304	0.108161295	0.229477468	0.125672504	0.178013849	0.068266623	0.203045231	0.453249191	0.205570203	0.745910582
ACYP2	ACYP2	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.439246417	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.069437929	1.00E-06	0.099747915	1.00E-06	0.03325395	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.178332875	1.00E-06	1.00E-06	0.904930833
AD-003	AD-003	0.104869968	1.645956712	0.35353897	0.150522925	0.692250187	0.007071374	0.374645777	1.306263034	2.041421786	0.890381794	1.383817584	0.877378335	1.895695887	0.906331123	1.00E-06	0.434574584	0.260705873	0.087406867	0.181584759	0.069665286	0.167932916	1.686500774	2.059796279	2.232997229	1.286867995	2.031878017	2.079916982	1.751875408	0.692446637
AD-020	AD-020	3.984702459	16.25046999	1.740756496	1.569346867	2.22334477	0.92157487	2.587174076	19.10817376	15.4936823	10.03136222	4.02650519	13.92010946	24.54074037	27.53846073	2.065152508	3.548281797	0.795685573	3.106348263	1.386864208	2.415987379	1.565598175	21.43938878	15.16683189	29.5715919	20.14649338	5.118082657	128.0939211	24.94042718	0.38357255
AD034	AD034	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	3.181918966	1.00E-06	1.00E-06	2.376864053	1.00E-06	0.007660868	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.022301271	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.171738299
ADA	ADA	0.706314792	1.080486582	0.591367935	0.47201728	0.250543243	0.702525337	0.499464245	1.00E-06	0.435881187	0.748050033	0.531280758	0.54296566	0.22024787	0.066002838	0.316534477	0.843125471	0.600175868	0.597541856	0.128073711	0.468063983	0.013547051	0.763081869	0.42973857	0.228789343	0.572414586	0.216067816	1.489955169	0.587397951	0.817709483
ADAM15	ADAM15	0.56919079	0.549076276	1.107744979	0.648094175	0.890381794	0.430872342	0.60277211	0.130082608	0.470451765	0.982655194	0.135929822	0.934373163	0.432672027	1.00E-06	0.013857945	0.583964743	0.706999361	0.717322359	0.375172038	0.567414482	0.361722065	0.368383641	0.258143725	0.567094039	0.523771773	1.00E-06	0.717322359	0.20524661	0.226806018
